id,host_id,host_name,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month
2318,2536,Megan,8/26/08,within an hour,100%,t,2,Madrona,Central Area,98122,47.61082,-122.29082,House,Entire home/apt,9,2.5,4,4,$296.00 ,28,100,f,strict_14_with_grace_period,0.21
5682,8993,Maddy,3/3/09,N/A,N/A,t,1,South Delridge,Delridge,98106,47.52398,-122.35989,Guest suite,Entire home/apt,2,1,0,1,$48.00 ,462,95,f,strict_14_with_grace_period,3.99
6606,14942,Joyce,4/26/09,within a few hours,100%,f,5,Wallingford,Other neighborhoods,98103,47.65411,-122.33761,Guesthouse,Entire home/apt,2,1,1,1,$90.00 ,147,92,f,strict_14_with_grace_period,1.19
9419,30559,Angielena,8/9/09,within a few hours,100%,t,8,Georgetown,Other neighborhoods,98108,47.55062,-122.32014,Apartment,Private room,2,3,1,1,$62.00 ,144,93,f,moderate,1.29
9460,30832,Siena,8/10/09,within an hour,100%,t,4,First Hill,Downtown,98101,47.61265,-122.32936,Condominium,Private room,2,1,1,1,$99.00 ,443,98,t,moderate,3.62
9531,31481,Cassie,8/13/09,within a few hours,100%,t,2,Fairmount Park,West Seattle,98136,47.55539,-122.38474,House,Entire home/apt,4,1,2,3,$165.00 ,37,100,f,strict_14_with_grace_period,0.39
9534,31481,Cassie,8/13/09,within a few hours,100%,t,2,Fairmount Park,West Seattle,98136,47.55624,-122.38598,Guest suite,Entire home/apt,3,1,2,2,$125.00 ,44,100,f,strict_14_with_grace_period,0.47
9596,14942,Joyce,4/26/09,within a few hours,100%,f,5,Wallingford,Other neighborhoods,98103,47.65479,-122.33652,Apartment,Entire home/apt,4,1,1,4,$120.00 ,91,91,f,strict_14_with_grace_period,0.9
9909,33360,Laura,8/23/09,within an hour,100%,t,8,Fairmount Park,West Seattle,98126,47.56521,-122.37375,House,Entire home/apt,8,2,3,5,$125.00 ,71,96,t,strict_14_with_grace_period,0.59
11012,14942,Joyce,4/26/09,within a few hours,100%,f,5,Wallingford,Other neighborhoods,98103,47.65448,-122.33646,House,Entire home/apt,8,2,3,3,$299.00 ,91,96,f,strict_14_with_grace_period,0.78
14386,39377,Bob,9/18/09,within a day,100%,f,3,Green Lake,Other neighborhoods,98103,47.68725,-122.3347,House,Private room,2,1.5,1,1,$40.00 ,141,92,f,strict_14_with_grace_period,1.27
15108,39377,Bob,9/18/09,within a day,100%,f,3,Green Lake,Other neighborhoods,98103,47.68827,-122.33586,House,Private room,6,1,3,3,$60.00 ,71,90,f,moderate,0.71
15749,61636,Angela,12/9/09,within an hour,100%,t,2,Green Lake,Other neighborhoods,98115,47.68407,-122.32649,House,Private room,1,1,1,1,$32.00 ,20,95,f,strict_14_with_grace_period,0.21
17951,33360,Laura,8/23/09,within an hour,100%,t,8,Fairmount Park,West Seattle,98136,47.55538,-122.38622,Guest suite,Entire home/apt,2,1,0,1,$105.00 ,114,98,t,moderate,1.01
19619,74305,Seattle Oasis,1/27/10,within an hour,98%,t,57,Belltown,Downtown,98121,47.61362,-122.34706,Condominium,Entire home/apt,4,1,1,1,$145.00 ,102,97,f,strict_14_with_grace_period,0.93
20927,79450,Brad / Liz,2/9/10,within an hour,100%,t,2,Adams,Ballard,98107,47.67334,-122.39512,Guesthouse,Entire home/apt,2,1,1,1,$89.00 ,557,97,t,moderate,4.96
20928,79450,Brad / Liz,2/9/10,within an hour,100%,t,2,Adams,Ballard,98107,47.67361,-122.3938,Guest suite,Entire home/apt,2,1,1,1,$79.00 ,316,97,t,moderate,6.04
23192,90437,Ian,3/9/10,within an hour,100%,t,7,Broadway,Capitol Hill,98102,47.62237,-122.31592,Apartment,Entire home/apt,5,1,1,3,$200.00 ,119,97,f,strict_14_with_grace_period,1.55
24212,74305,Seattle Oasis,1/27/10,within an hour,98%,t,57,Belltown,Downtown,98121,47.6154,-122.34866,Condominium,Entire home/apt,6,1,2,2,$157.00 ,88,94,f,strict_14_with_grace_period,0.81
25002,102684,Amanda,4/2/10,within an hour,100%,t,1,Whittier Heights,Ballard,98117,47.67941,-122.37054,Guest suite,Entire home/apt,4,1,1,2,$70.00 ,759,98,t,flexible,6.62
26116,110248,Jamilah,4/18/10,within an hour,100%,f,5,Broadway,Capitol Hill,98102,47.61743,-122.32676,Apartment,Entire home/apt,4,1,2,2,$259.00 ,143,96,f,strict_14_with_grace_period,1.3
26795,114228,Kelly,4/26/10,within a few hours,100%,f,1,Eastlake,Cascade,98102,47.63953,-122.32838,Cottage,Entire home/apt,5,1,2,3,$165.00 ,62,93,f,strict_14_with_grace_period,0.56
30712,107605,Al,4/12/10,within a few hours,80%,t,1,Loyal Heights,Ballard,98117,47.6789,-122.38186,Apartment,Entire home/apt,3,1,1,1,$64.00 ,114,88,f,moderate,1.01
41401,180441,Pina,7/25/10,N/A,N/A,f,1,Mid-Beacon Hill,Beacon Hill,98108,47.56035,-122.31402,House,Entire home/apt,4,1,1,2,$95.00 ,28,96,f,strict_14_with_grace_period,0.25
43373,189356,Michael,8/2/10,within an hour,100%,f,1,Wallingford,Other neighborhoods,98103,47.65055,-122.33059,House,Private room,2,1,1,1,$55.00 ,266,95,t,moderate,2.4
47491,215230,Carol,8/28/10,within a few hours,100%,f,4,Wedgwood,Other neighborhoods,98115,47.69246,-122.28688,House,Private room,1,1,1,1,$50.00 ,46,93,f,moderate,0.42
48848,212404,Piper + Kent,8/25/10,within a day,100%,t,2,Windermere,Other neighborhoods,98115,47.67159,-122.25995,Guest suite,Entire home/apt,2,1,1,1,$80.00 ,42,99,f,moderate,0.39
52525,215230,Carol,8/28/10,within a few hours,100%,f,4,Wedgwood,Other neighborhoods,98115,47.6927,-122.28548,House,Private room,1,1,1,1,$45.00 ,30,91,f,moderate,0.27
58503,157262,Gus & Chelsea,7/2/10,within an hour,100%,f,1,Phinney Ridge,Other neighborhoods,98103,47.67947,-122.3566,House,Entire home/apt,4,1,2,3,$75.00 ,246,94,t,flexible,4.05
63733,311363,Irmgard,12/6/10,within a few hours,100%,f,1,West Woodland,Ballard,98107,47.67171,-122.36589,Apartment,Entire home/apt,2,1,1,1,$76.00 ,238,97,t,moderate,2.32
66540,215230,Carol,8/28/10,within a few hours,100%,f,4,Wedgwood,Other neighborhoods,98115,47.69421,-122.28625,House,Private room,1,1,1,1,$50.00 ,26,96,f,moderate,0.25
66611,215230,Carol,8/28/10,within a few hours,100%,f,4,Wedgwood,Other neighborhoods,98115,47.69282,-122.28534,House,Private room,1,1,1,2,$45.00 ,29,90,f,moderate,0.28
67270,331573,Jean,12/31/10,within a few hours,100%,f,1,Seward Park,Seward Park,98118,47.56168,-122.27212,House,Private room,2,1,1,1,$70.00 ,187,96,f,moderate,1.8
68508,340192,Angela,1/8/11,within a day,100%,f,3,Broadway,Capitol Hill,98102,47.63813,-122.32148,Apartment,Entire home/apt,4,1,1,1,$149.00 ,0,,f,strict_14_with_grace_period,
77149,412854,Goldie,2/27/11,N/A,N/A,f,1,Broadway,Capitol Hill,98102,47.62585,-122.32004,Apartment,Entire home/apt,6,1,1,5,$110.00 ,15,87,t,moderate,0.15
84271,460561,Elizabeth,3/24/11,within an hour,100%,f,0,Stevens,Capitol Hill,98112,47.62434,-122.3037,Guest suite,Entire home/apt,2,1,1,1,$250.00 ,1,100,t,strict_14_with_grace_period,0.38
86185,192355,Jane,8/5/10,within a day,70%,f,2,North Admiral,West Seattle,98116,47.58239,-122.39448,House,Private room,2,1,1,1,$75.00 ,72,94,f,moderate,0.71
103075,292521,Tami,11/19/10,N/A,N/A,f,0,Harrison/Denny-Blaine,Central Area,98112,47.62843,-122.28338,House,Entire home/apt,4,1,2,2,$160.00 ,74,95,f,moderate,0.73
107884,331494,Anne,12/31/10,within an hour,100%,t,1,North Admiral,West Seattle,98116,47.58,-122.40204,Apartment,Entire home/apt,4,1,1,2,$92.00 ,156,98,t,flexible,1.54
107962,112093,Roberta & Dan,4/21/10,within a few hours,100%,t,1,Haller Lake,Northgate,98133,47.71489,-122.33296,Guesthouse,Entire home/apt,2,1,1,1,$120.00 ,227,98,f,flexible,2.26
108765,541908,Mary,4/28/11,within an hour,100%,f,1,Mid-Beacon Hill,Beacon Hill,98108,47.55257,-122.30435,Guesthouse,Entire home/apt,2,1,1,1,$130.00 ,62,100,t,moderate,0.62
116221,587302,Danni,5/14/11,within an hour,100%,t,1,Fremont,Other neighborhoods,98103,47.65437,-122.35745,Apartment,Entire home/apt,2,1,1,1,$120.00 ,52,97,f,moderate,0.52
117165,559827,Judith,5/5/11,within a few hours,100%,t,2,Alki,West Seattle,98116,47.56874,-122.40649,House,Private room,2,1,1,1,$150.00 ,134,99,f,strict_14_with_grace_period,1.36
119103,601600,Hal,5/18/11,within a few hours,100%,t,2,Fremont,Other neighborhoods,98103,47.65231,-122.35,Guesthouse,Entire home/apt,3,1,1,2,$79.00 ,383,98,f,moderate,3.8
132120,378445,Ralph,2/5/11,within a day,100%,f,1,Wallingford,Other neighborhoods,98103,47.66923,-122.33517,Apartment,Entire home/apt,4,1,1,1,$110.00 ,113,93,f,moderate,1.12
132160,558743,Natalie,5/5/11,within an hour,100%,t,2,Green Lake,Other neighborhoods,98103,47.68226,-122.34345,Guest suite,Entire home/apt,6,1,2,2,$150.00 ,274,97,f,strict_14_with_grace_period,2.77
134091,658155,Joe,6/2/11,within an hour,100%,t,17,Broadway,Capitol Hill,98102,47.62142,-122.31642,Apartment,Entire home/apt,4,1,1,2,$170.00 ,175,97,t,strict_14_with_grace_period,1.78
136480,539515,Shari,4/27/11,within a day,100%,f,2,Seward Park,Seward Park,98118,47.55508,-122.26455,House,Private room,2,1,1,1,$85.00 ,80,97,f,flexible,1.07
140331,683617,Jana,6/9/11,within a day,90%,t,1,Harrison/Denny-Blaine,Central Area,98112,47.61894,-122.29212,House,Private room,2,1,1,1,$75.00 ,148,97,f,flexible,1.47
143580,594315,Jana,5/16/11,within an hour,100%,t,1,North Beacon Hill,Beacon Hill,98144,47.58379,-122.31677,Condominium,Private room,2,0,1,1,$89.00 ,378,94,t,moderate,3.76
143704,696788,Julie,6/13/11,within an hour,100%,t,1,Mann,Central Area,98122,47.61231,-122.29825,House,Entire home/apt,3,1,1,1,$68.00 ,376,97,t,moderate,3.75
151545,306615,Tara,12/1/10,within a few hours,100%,t,7,Portage Bay,Capitol Hill,98102,47.65008,-122.31931,Condominium,Entire home/apt,6,1.5,3,3,$199.00 ,35,99,t,strict_14_with_grace_period,0.35
170273,804996,Nadine,7/11/11,within an hour,100%,t,1,Lower Queen Anne,Queen Anne,98119,47.62767,-122.35861,House,Entire home/apt,7,2.5,3,5,$750.00 ,240,100,f,moderate,2.41
186328,895223,Andrew,7/30/11,N/A,N/A,f,1,North Queen Anne,Queen Anne,98109,47.64413,-122.3563,House,Entire home/apt,6,3,3,2,$250.00 ,1,,f,strict_14_with_grace_period,0.01
189156,179030,Harriet,7/24/10,within an hour,100%,t,1,Seaview,West Seattle,98136,47.54543,-122.39784,Apartment,Entire home/apt,2,1,0,1,$78.00 ,303,96,t,moderate,3.09
190984,923095,Denise,8/4/11,within an hour,100%,f,2,Columbia City,Rainier Valley,98118,47.55284,-122.27789,Apartment,Entire home/apt,2,1,1,1,$80.00 ,157,92,t,flexible,2.41
192666,933468,Vidya,8/7/11,within an hour,100%,t,2,North Admiral,West Seattle,98116,47.58216,-122.39387,Townhouse,Private room,2,1,1,1,$59.00 ,99,100,f,moderate,2.31
193836,583579,Amy,5/12/11,within an hour,100%,t,1,Gatewood,West Seattle,98136,47.5357,-122.38631,House,Entire home/apt,5,1,1,2,$89.00 ,188,94,f,moderate,1.9
202251,601266,Tim And Pam,5/18/11,within an hour,100%,f,1,Phinney Ridge,Other neighborhoods,98117,47.6777,-122.35984,House,Entire home/apt,6,1,3,0,$175.00 ,24,89,f,strict_14_with_grace_period,0.38
202260,990195,Kerry,8/18/11,N/A,N/A,f,1,View Ridge,Other neighborhoods,98115,47.68004,-122.28398,Apartment,Entire home/apt,2,1,1,1,$99.00 ,143,98,f,moderate,1.45
210316,2438665,Flor,5/22/12,within an hour,100%,t,4,Crown Hill,Other neighborhoods,98117,47.6999,-122.36614,House,Private room,2,4,1,1,$95.00 ,73,95,t,flexible,1.13
215882,971336,Julie,8/15/11,within an hour,100%,t,1,Columbia City,Rainier Valley,98118,47.5613,-122.28122,Bungalow,Entire home/apt,2,1,1,1,$80.00 ,367,98,f,moderate,3.82
217142,8243075,Lori,8/18/13,within a few hours,94%,f,4,Belltown,Downtown,98121,47.61534,-122.34791,Condominium,Entire home/apt,7,2,2,4,$200.00 ,161,95,f,strict_14_with_grace_period,1.67
218741,468703,Corinne & Tom,3/28/11,within an hour,100%,t,2,Loyal Heights,Ballard,98117,47.68231,-122.37875,House,Private room,3,1,1,1,$90.00 ,132,96,f,moderate,1.49
219532,1037115,Rose And Glen,8/30/11,within an hour,100%,t,11,Fremont,Other neighborhoods,98107,47.65692,-122.36093,House,Entire home/apt,6,1.5,3,4,$275.00 ,87,94,t,strict_14_with_grace_period,0.97
